year,metarea,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,100,8845,176900,91933.709,40366.026,0.235,0.092,0.037,0.015,0.571,0.063,0.741,239686.787,181258.864,-2136.719,49670.605,58713.219,0.607,0.393,NA,NA,0.169,0.691,0.309,0,0.186,3.482,46.845,922.445,0.008,0.006,0.002,0.001,0.004,0.001,0.006,0.009,0.022
1960,112,27261,545220,128305.411,33677.835,0.271,0.108,0.044,0.018,0.62,0.029,0.802,396983.224,261307.561,-3126.188,64761.487,66331.917,0.408,0.592,NA,NA,0.262,0.959,0.036,0,0.221,3.161,48.847,4061.532,0.017,0.01,0.004,0.002,0.012,0.001,0.016,0.014,0.014
1960,116,2926,58520,93686.887,31504.724,0.182,0.069,0.029,0.012,0.511,0.036,0.728,232459.527,223966.933,-3275.289,56305.04,65806.971,0.428,0.572,NA,NA,0.14,0.933,0.066,0,0.173,3.251,46.762,1371.408,0.012,0.012,0.003,0.001,0.007,0.001,0.009,0.012,0.014
1960,120,1158,23160,82418.985,44308.44,0.162,0.051,0.027,0.017,0.488,0.411,0.679,145644.118,183907.045,0,53448.664,58872.215,0.516,0.484,NA,NA,0.175,0.987,0.013,0,0.216,3.173,48.707,2568.223,0.024,0.026,0.004,0.008,0.016,0.478,0.02,0.022,0.025
1960,124,1722,34440,72045.859,30077.481,0.147,0.045,0.021,0.014,0.534,0.586,0.705,126742.78,188061.683,-2158.95,34654.52,42021.321,0.604,0.396,NA,NA,0.177,0.99,0.008,0,0.172,4.172,44.785,3278.426,0.035,0.025,0.008,0.003,0.02,0.481,0.026,0.033,0.023
1960,128,16526,330520,117104.603,56946.782,0.23,0.094,0.038,0.015,0.532,0.06,0.732,336236.049,237379.544,-2450.158,60277.689,78325.315,0.544,0.456,NA,NA,0.186,0.941,0.055,0,0.158,3.354,46.558,2342.6,0.014,0.007,0.003,0.001,0.009,0.001,0.012,0.013,0.013
1960,132,3701,74020,128234.868,71159.993,0.193,0.066,0.027,0.012,0.496,0.263,0.659,239036.506,247099.523,2575.386,58760.535,89498.046,0.724,0.276,NA,NA,0.141,0.956,0.044,0,0.145,3.36,47.364,3847.428,0.025,0.028,0.011,0.002,0.015,0.348,0.019,0.027,0.037
1960,136,2014,40280,124398.733,71283.164,0.198,0.075,0.03,0.012,0.486,0.11,0.66,283473.155,234930.795,3880.412,58580.647,84626.073,0.696,0.304,NA,NA,0.226,0.992,0.008,0,0.157,3.227,46.351,2161.753,0.013,0.01,0.004,0.002,0.009,0.002,0.011,0.014,0.026
1960,140,1752,35040,148467.947,50185.66,0.281,0.105,0.043,0.018,0.608,0.045,0.789,383385.898,280863.827,-2870.32,59143.652,79409.056,0.549,0.451,NA,NA,0.402,0.949,0.045,0,0.151,3.167,43.202,13163.919,0.049,0.035,0.012,0.005,0.035,0.004,0.046,0.048,0.025
1960,144,2654,53080,75992.877,24638.928,0.223,0.076,0.032,0.015,0.607,0.219,0.771,176482.967,172262.219,-2913.205,44130.921,45800.635,0.477,0.523,NA,NA,0.164,0.674,0.325,0,0.198,3.739,43.407,2690.772,0.026,0.027,0.01,0.002,0.014,0.417,0.019,0.026,0.024
